year,region,habitat,site_id,site_name,station_id,octocoral_density
2012,DC,Inner,0,Dade County 5,1,8.3
2012,DC,Inner,0,Dade County 5,2,6
2012,DC,Inner,0,Dade County 5,3,10.5
2012,DC,Inner,0,Dade County 5,4,8.9
2012,PBC,Nearshore,84,Palm Beach 1,841,0.8
2012,PBC,Nearshore,84,Palm Beach 1,842,0.4
2012,PBC,Nearshore,84,Palm Beach 1,843,0.2
2012,PBC,Nearshore,84,Palm Beach 1,844,0
2012,PBC,Outer,85,Palm Beach 2,851,35
2012,PBC,Outer,85,Palm Beach 2,852,24.8
2012,PBC,Outer,85,Palm Beach 2,853,12.6
2012,PBC,Outer,85,Palm Beach 2,854,11.1
2012,PBC,Outer,86,Palm Beach 3,861,16.9
2012,PBC,Outer,86,Palm Beach 3,862,6.9
2012,PBC,Outer,86,Palm Beach 3,863,23.6
2012,PBC,Outer,86,Palm Beach 3,864,18.9
2012,BC,Nearshore,87,Broward County 1,871,10.1
2012,BC,Nearshore,87,Broward County 1,872,13.7
2012,BC,Nearshore,87,Broward County 1,873,8.7
2012,BC,Nearshore,87,Broward County 1,874,8.8
2012,BC,Middle,88,Broward County 2,881,7.8
2012,BC,Middle,88,Broward County 2,882,8.4
2012,BC,Middle,88,Broward County 2,883,3.5
2012,BC,Middle,88,Broward County 2,884,6.5
2012,BC,Outer,89,Broward County 3,891,14.6
2012,BC,Outer,89,Broward County 3,892,20.4
2012,BC,Outer,89,Broward County 3,893,21.5
2012,BC,Outer,89,Broward County 3,894,17.7
2012,BC,Nearshore,90,Broward County A,901,2
2012,BC,Nearshore,90,Broward County A,902,0
2012,BC,Nearshore,90,Broward County A,903,0.7
2012,BC,Nearshore,90,Broward County A,904,0.5
2012,DC,Inner,91,Dade County 1,911,5
2012,DC,Inner,91,Dade County 1,912,6.9
2012,DC,Inner,91,Dade County 1,913,7.5
2012,DC,Inner,91,Dade County 1,914,9.6
2012,DC,Middle,92,Dade County 2,921,9.1
2012,DC,Middle,92,Dade County 2,922,11.1
2012,DC,Middle,92,Dade County 2,923,15
2012,DC,Middle,92,Dade County 2,924,14
2012,DC,Outer,93,Dade County 3,931,9.4
2012,DC,Outer,93,Dade County 3,932,10.2
2012,DC,Outer,93,Dade County 3,933,11.5
2012,DC,Outer,93,Dade County 3,934,7.3
2012,MC,Nearshore,94,Martin County 1,941,0
2012,MC,Nearshore,94,Martin County 1,942,0
2012,MC,Nearshore,94,Martin County 1,943,0
