Year,Date,Subregion,Habitat,SiteID,Site_name,StationID,TransectArea,Acropora_cervicornis,Agaricia_fragilis,Agaricia_lamarcki,Colpophyllia_natans,Dichocoenia_stokesii,Diploria_labyrinthiformis,Eusmilia_fastigiata,Favia_fragum,Helioseris_cucullata,Isophyllia_sinuosa,Madracis_aurentenra,Madracis_decactis,Madracis_scenaria,Meandrina_meandrites,Montastraea_cavernosa,Mussa_angulosa,Mycetophyllia_aliciae,Mycetophyllia_lamarckiana,Oculina_diffusa,Oculina_robusta,Orbicella_annularis_complex,Orbicella_faveolata,Orbicella_franksi,Phyllangia_americana,Porites_astreoides,Porites_porites,Pseudodiploria_clivosa,Pseudodiploria_strigosa,Scolymia_cubensis,Siderastrea_radians,Siderastrea_siderea,Solenastrea_bournoni,Stephanocoenia_intersepta,Tubastraea_coccinea,Undaria_agaricites_complex
2012,7/2/2012,DC,Inner,0,Dade County 5,1,22,0.0,393.7,0.0,0.0,535.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1756.8,2023.7,477.8,0.0,0.0,0.0,0.0,1252.6,0.0,0.0,0.0,1416.2,140.1,0.0,0.0,0.0,25.1,1528.4,0.0,952.2,0.0,4215.4
2012,7/2/2012,DC,Inner,0,Dade County 5,2,22,0.0,0.0,0.0,100.5,643.5,0.0,0.0,0.0,0.0,0.0,0.0,3371.1,0.0,0.0,401.4,0.0,0.0,0.0,0.0,0.0,71.5,0.0,0.0,0.0,608.6,359.8,0.0,0.0,0.0,0.0,674.8,0.0,458.5,0.0,4859.2
2012,7/2/2012,DC,Inner,0,Dade County 5,3,22,0.0,1249.5,0.0,0.0,268.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30122.7,34.2,0.0,0.0,0.0,0.0,0.0,1026.5,0.0,0.0,0.0,1049.9,47.1,0.0,0.0,0.0,0.0,993.6,699.3,44.5,0.0,1488.2
2012,7/2/2012,DC,Inner,0,Dade County 5,4,22,0.0,1575.5,0.0,892.0,110.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7991.5,0.0,0.0,0.0,0.0,0.0,0.0,6406.9,0.0,0.0,0.0,754.8,151.1,0.0,0.0,0.0,0.0,444.5,0.0,118.4,0.0,4425.4
2012,8/7/2012,PBC,Nearshore,84,Palm Beach 1,841,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,885.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1294.6,0.0,0.0,0.0
2012,8/7/2012,PBC,Nearshore,84,Palm Beach 1,842,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,8/7/2012,PBC,Nearshore,84,Palm Beach 1,843,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.2,0.0,382.0,0.0,0.0,0.0
2012,8/7/2012,PBC,Nearshore,84,Palm Beach 1,844,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,8/9/2012,PBC,Outer,85,Palm Beach 2,851,22,0.0,0.0,0.0,0.0,40.1,0.0,161.2,0.0,0.0,0.0,0.0,0.0,0.0,101.6,10027.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.4,0.0,1252.6,0.0,0.0
2012,8/9/2012,PBC,Outer,85,Palm Beach 2,852,22,0.0,0.0,0.0,0.0,50.6,0.0,382.9,0.0,0.0,0.0,439.8,0.0,0.0,2259.0,3709.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.9,0.0,0.0,0.0,0.0,0.0,68.3,0.0,106.4,0.0,0.0
2012,8/9/2012,PBC,Outer,85,Palm Beach 2,853,22,0.0,0.0,0.0,0.0,267.3,0.0,194.5,0.0,0.0,0.0,2435.8,0.0,0.0,1275.6,2574.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.2,0.0,0.0,0.0,0.0,0.0,380.9,0.0,53.4,0.0,0.0
2012,8/9/2012,PBC,Outer,85,Palm Beach 2,854,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,720.5,0.0,0.0,1133.3,3243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.9,0.0,0.0,0.0,0.0,0.0,25.1,0.0,350.7,0.0,0.0
2012,8/7/2012,PBC,Outer,86,Palm Beach 3,861,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648.5,0.0,1294.2,1247.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1290.0,0.0,0.0,0.0,0.0,0.0,34.2,0.0,17.4,0.0,0.0
2012,8/7/2012,PBC,Outer,86,Palm Beach 3,862,22,0.0,0.0,0.0,0.0,124.6,0.0,0.0,0.0,0.0,0.0,0.0,833.3,0.0,1684.5,4279.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.6,0.0,0.0,0.0,0.0,0.0,22.6,0.0,0.0,0.0,11365.5
2012,8/7/2012,PBC,Outer,86,Palm Beach 3,863,22,0.0,0.0,0.0,0.0,209.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1386.8,3407.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.8,0.0,0.0,0.0,0.0,0.0,93.4,0.0,110.0,0.0,0.0
2012,8/7/2012,PBC,Outer,86,Palm Beach 3,864,22,0.0,0.0,0.0,0.0,117.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247.3,1685.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,53.5,0.0,0.0
2012,6/13/2012,BC,Nearshore,87,Broward County 1,871,22,0.0,0.0,0.0,3219.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,68621.6,0.0,0.0,0.0,0.0,0.0,15907.5,0.0,0.0,0.0,117.7,0.0,0.0,0.0,0.0,0.0,1734.2,646.2,1233.9,0.0,467.4
2012,6/13/2012,BC,Nearshore,87,Broward County 1,872,22,0.0,0.0,0.0,0.0,133.6,0.0,0.0,0.0,0.0,0.0,0.0,457.2,0.0,0.0,116756.6,0.0,0.0,0.0,0.0,0.0,32130.0,0.0,0.0,0.0,447.2,0.0,0.0,0.0,0.0,0.0,1800.8,586.9,866.2,0.0,237.2
2012,6/14/2012,BC,Nearshore,87,Broward County 1,873,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.6,0.0,0.0,0.0,0.0,0.0,0.0,186473.9,0.0,0.0,0.0,0.0,0.0,6399.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2499.7,5510.7,0.0,0.0,0.0
2012,6/14/2012,BC,Nearshore,87,Broward County 1,874,22,0.0,33.8,0.0,0.0,549.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53544.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.9,0.0,0.0,0.0,0.0,0.0,135.7,0.0,760.5,0.0,0.0
2012,6/13/2012,BC,Middle,88,Broward County 2,881,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.9,400.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976.0,1547.1,184.3,0.0,0.0
2012,6/13/2012,BC,Middle,88,Broward County 2,882,22,0.0,0.0,284.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.2,0.0,0.0,0.0,0.0,583.3,0.0,140.2,0.0,0.0
2012,6/13/2012,BC,Middle,88,Broward County 2,883,22,0.0,0.0,0.0,0.0,274.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3492.3,162.4,0.0,0.0,0.0,0.0,0.0,3321.3,0.0,0.0,0.0,233.2,118.2,0.0,0.0,0.0,0.0,733.8,0.0,238.4,0.0,0.0
2012,6/13/2012,BC,Middle,88,Broward County 2,884,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.8,0.0,0.0,0.0,0.0,0.0,103.7,0.0,1851.3,0.0,0.0
2012,6/14/2012,BC,Outer,89,Broward County 3,891,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1361.2,0.0,0.0,0.0,0.0,0.0,620.4,0.0,291.8,0.0,0.0
2012,6/14/2012,BC,Outer,89,Broward County 3,892,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5,2168.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.2,0.0,17.4,0.0,0.0,0.0,235.0,0.0,1104.4,0.0,0.0
2012,6/14/2012,BC,Outer,89,Broward County 3,893,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.1,0.0,250.8,1644.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.2,0.0,0.0,0.0,0.0,0.0,93.6,0.0,318.0,0.0,0.0
2012,6/14/2012,BC,Outer,89,Broward County 3,894,22,0.0,0.0,44.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.8,677.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883.0,0.0,500.1,0.0,0.0
2012,6/15/2012,BC,Nearshore,90,Broward County A,901,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1208.8,0.0,4915.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.5
2012,6/15/2012,BC,Nearshore,90,Broward County A,902,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.6
2012,6/15/2012,BC,Nearshore,90,Broward County A,903,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1989.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1157.0
