date,site_name,sst_mean,chl_mean,rrs667_mean,kd490_mean,latitude,longitude,region
6/1/02,Admiral,28.377638,,,,25.0447,-80.3948,UK
7/1/02,Admiral,29.402458,2.025719828,0.001380556,0.158911104,25.0447,-80.3948,UK
8/1/02,Admiral,30.034512,2.010898696,0.001700223,0.15803333,25.0447,-80.3948,UK
9/1/02,Admiral,29.419456,1.546786785,0.001695001,0.132288887,25.0447,-80.3948,UK
10/1/02,Admiral,28.83591,2.05219041,0.00177989,0.160433327,25.0447,-80.3948,UK
11/1/02,Admiral,26.828386,1.624555323,0.00192289,0.13647777,25.0447,-80.3948,UK
12/1/02,Admiral,24.9792,1.550139414,0.002926556,0.132311111,25.0447,-80.3948,UK
1/1/03,Admiral,23.071922,1.629393697,0.002015779,0.136755556,25.0447,-80.3948,UK
2/1/03,Admiral,23.57802,1.453338822,0.002213334,0.126877776,25.0447,-80.3948,UK
3/1/03,Admiral,25.914375,1.848641382,0.001874334,0.149011109,25.0447,-80.3948,UK
4/1/03,Admiral,25.512333,2.008282582,0.001789445,0.15793333,25.0447,-80.3948,UK
5/1/03,Admiral,28.10287,1.931346999,0.001876668,0.153655551,25.0447,-80.3948,UK
6/1/03,Admiral,29.144758,1.99562437,0.002075334,0.157277774,25.0447,-80.3948,UK
7/1/03,Admiral,29.520037,1.714330435,0.002033779,0.141511104,25.0447,-80.3948,UK
8/1/03,Admiral,30.283817,1.86252888,0.001814001,0.149799998,25.0447,-80.3948,UK
9/1/03,Admiral,29.648369,1.947669559,0.001497779,0.154511109,25.0447,-80.3948,UK
10/1/03,Admiral,28.692657,2.050757647,0.001762668,0.16045555,25.0447,-80.3948,UK
11/1/03,Admiral,27.227905,1.488098264,0.004326556,0.128922221,25.0447,-80.3948,UK
12/1/03,Admiral,24.98066,1.499356296,0.003029556,0.129477776,25.0447,-80.3948,UK
1/1/04,Admiral,23.64563,1.286467393,0.00221189,0.11753333,25.0447,-80.3948,UK
2/1/04,Admiral,23.955069,1.535362959,0.002103112,0.131466664,25.0447,-80.3948,UK
3/1/04,Admiral,24.480217,1.475069152,0.002524668,0.128144443,25.0447,-80.3948,UK
4/1/04,Admiral,24.751757,1.725998309,0.00240589,0.142122216,25.0447,-80.3948,UK
5/1/04,Admiral,26.556828,1.610180603,0.001644668,0.135699995,25.0447,-80.3948,UK
6/1/04,Admiral,29.592756,1.988239937,0.001997556,0.156777774,25.0447,-80.3948,UK
7/1/04,Admiral,30.005974,2.154143267,0.00164189,0.166144439,25.0447,-80.3948,UK
8/1/04,Admiral,30.115988,1.92165388,0.001705112,0.153044441,25.0447,-80.3948,UK
9/1/04,Admiral,29.359856,2.084388057,0.002288223,0.162355555,25.0447,-80.3948,UK
10/1/04,Admiral,28.068855,1.629016029,0.00196389,0.136677773,25.0447,-80.3948,UK
11/1/04,Admiral,26.96539,1.570734726,0.002268779,0.133511105,25.0447,-80.3948,UK
12/1/04,Admiral,25.144348,1.472556141,0.002240001,0.127977775,25.0447,-80.3948,UK
1/1/05,Admiral,24.016514,1.347494059,0.002681001,0.120988886,25.0447,-80.3948,UK
2/1/05,Admiral,23.6456,1.399951259,0.002175334,0.123944441,25.0447,-80.3948,UK
3/1/05,Admiral,24.269487,1.644222273,0.001938445,0.137533327,25.0447,-80.3948,UK
4/1/05,Admiral,24.608707,1.959084087,0.002100556,0.155111106,25.0447,-80.3948,UK
5/1/05,Admiral,26.760355,1.952946968,0.001701001,0.154822215,25.0447,-80.3948,UK
6/1/05,Admiral,28.710453,2.204441826,0.002206556,0.169088882,25.0447,-80.3948,UK
7/1/05,Admiral,29.62519,1.938339591,0.002148668,0.153977772,25.0447,-80.3948,UK
8/1/05,Admiral,30.755686,2.097127239,0.001496334,0.16292222,25.0447,-80.3948,UK
9/1/05,Admiral,29.749905,2.053084917,0.001677668,0.160455551,25.0447,-80.3948,UK
10/1/05,Admiral,28.427925,1.699913581,0.003548334,0.140688886,25.0447,-80.3948,UK
11/1/05,Admiral,26.07844,1.821155985,0.00316789,0.147522216,25.0447,-80.3948,UK
12/1/05,Admiral,24.492943,1.777991626,0.001807001,0.145022217,25.0447,-80.3948,UK
